Pair,Executor,Dir,Size,Entry,Close,StopLoss,TakeProfit,PnL,Reason,Duration,Status,CloseTime
BNB/USDT,Smart,Sell,2.441,576.17,579.53,580.05,562.82,-9.62,SL,55m,Closed,7 Jun 3:23 AM
BTC/USDT,Smart,Sell,0.03489,61102.68,61389.33,61386.83,59563.46,-12.14,SL,54m,Closed,7 Jun 3:23 AM
DOGE/USDT,Agent,Sell,2231.24711,0.081664,0.082946,0.083047,0.079365,-3.05,Manual,53m,Closed,7 Jun 3:21 AM
SOL/USDT,Agent,Sell,2.93,62.02,63.32,63.05,60.26,-4.02,SL,51m,Closed,7 Jun 3:20 AM
ADA/USDT,Agent,Sell,1161,0.1569,0.1608,0.1591,0.1534,-4.71,SL,45m,Closed,7 Jun 3:13 AM
BTC/USDT,Agent,Sell,0.00299,60761.84,60839.82,61689.84,58954.82,-0.42,Manual,9h 52m,Closed,7 Jun 2:28 AM
BNB/USDT,Agent,Sell,0.316,574.67,574.77,583.01,562.27,-0.21,Manual,9h 52m,Closed,7 Jun 2:28 AM
XRP/USDT,Agent,Sell,165,1.0987,1.0941,1.1200,1.0703,0.58,Manual,9h 53m,Closed,7 Jun 2:28 AM
DOGE/USDT,Agent,Sell,2219.2832,0.081773,0.081842,0.083387,0.079690,-0.33,Manual,9h 53m,Closed,7 Jun 2:28 AM
SOL/USDT,Smart,Sell,8.06,62.12,61.81,62.68,61.19,1.97,Manual,4h 0m,Closed,6 Jun 9:43 PM
ADA/USDT,Agent,Sell,1133,0.1600,0.1576,0.1628,0.1570,2.54,Manual,4h 21m,Closed,6 Jun 8:56 PM
SOL/USDT,Smart,Sell,8.15,61.44,61.93,61.99,60.52,-4.53,SL,20m,Closed,6 Jun 5:43 PM
SOL/USDT,Smart,Sell,8.01,62.50,61.75,63.06,61.56,5.48,Manual,47m,Closed,6 Jun 5:22 PM
XRP/USDT,Agent,Sell,162,1.1067,1.0852,1.1328,1.0826,3.31,Manual,4h 41m,Closed,5 Jun 8:54 PM
DOGE/USDT,Agent,Sell,2213.23354,0.081522,0.080651,0.083450,0.080481,1.75,Manual,3h 39m,Closed,5 Jun 8:52 PM
BTC/USDT,Smart,Sell,0.10319,60631.40,61129.26,61215.51,59758.00,-57.68,Manual,2h 19m,Closed,5 Jun 6:21 PM
SOL/USDT,Smart,Sell,40.74,64.62,63.73,65.58,63.63,33.65,Manual,1h 54m,Closed,5 Jun 6:11 PM
ADA/USDT,Agent,Sell,1128,0.1615,0.1575,0.1635,0.1563,4.33,Manual,1h 42m,Closed,5 Jun 6:06 PM
BNB/USDT,Agent,Sell,0.307,584.35,577.48,602.61,575.89,1.93,Manual,1h 48m,Closed,5 Jun 5:49 PM
ETH/USDT,Smart,Sell,1.4225,1614.67,1595.81,1632.64,1584.15,24.55,Manual,56m,Closed,5 Jun 5:13 PM
DOGE/USDT,Agent,Sell,2150.25056,0.084448,0.082572,0.085585,0.081790,3.86,Manual,1h 28m,Closed,5 Jun 5:12 PM
SOL/USDT,Smart,Sell,22.58,64.31,64.70,64.82,63.28,-10.30,Manual,9m,Closed,5 Jun 4:16 PM
ETH/USDT,Smart,Sell,1.2495,1607.49,1615.33,1613.94,1589.85,-11.81,SL,9m,Closed,5 Jun 4:16 PM
XRP/USDT,Agent,Sell,159,1.1335,1.1092,1.1475,1.0966,3.69,Manual,4h 0m,Closed,5 Jun 4:13 PM
SOL/USDT,Agent,Sell,2.73,65.85,64.50,67.30,64.32,3.49,Manual,22m,Closed,5 Jun 4:06 PM
ETH/USDT,Smart,Sell,1.2737,1630.66,1614.62,1658.38,1609.12,18.38,Manual,15m,Closed,5 Jun 4:06 PM
ADA/USDT,Smart,Sell,7350,0.1618,0.1601,0.1633,0.1594,11.32,Manual,20m,Closed,5 Jun 4:03 PM
BTC/USDT,Smart,Sell,0.06327,61393.79,61104.43,62208.58,60727.42,14.44,Manual,18m,Closed,5 Jun 4:01 PM
BNB/USDT,Agent,Sell,0.302,594.93,585.59,603.03,576.30,2.64,Manual,4h 0m,Closed,5 Jun 4:01 PM
ETH/USDT,Smart,Sell,2.8139,1668.94,1652.93,1696.12,1645.74,40.39,Manual,4h 33m,Closed,5 Jun 3:51 PM
SOL/USDT,Agent,Sell,2.75,65.83,66.00,66.72,64.35,-0.65,Manual,6h 2m,Closed,5 Jun 3:44 PM
DOGE/USDT,Agent,Sell,2143.45534,0.084726,0.084645,0.085710,0.081910,-0.01,Manual,5h 51m,Closed,5 Jun 3:44 PM
BTC/USDT,Smart,Sell,0.08191,62694.48,62280.24,63206.64,61701.72,28.83,Manual,4h 0m,Closed,5 Jun 1:40 PM
ADA/USDT,Agent,Sell,1103,0.1640,0.1648,0.1648,0.1589,-1.06,SL,46m,Closed,5 Jun 12:49 PM
XRP/USDT,Agent,Sell,165,1.1178,1.1361,1.1436,1.0929,-3.21,Manual,4h 0m,Closed,5 Jun 12:13 PM
BNB/USDT,Smart,Sell,5.129,590.12,595.94,595.37,581.19,-32.89,SL,2h 22m,Closed,5 Jun 11:59 AM
ADA/USDT,Smart,Sell,7838,0.1630,0.1640,0.1645,0.1606,-8.90,Manual,12m,Closed,5 Jun 11:31 AM
ETH/USDT,Smart,Sell,2.1425,1665.41,1681.01,1677.21,1637.28,-37.03,SL,2h 32m,Closed,5 Jun 11:18 AM
ADA/USDT,Agent,Sell,1105,0.1642,0.1603,0.1661,0.1602,4.13,TP,39m,Closed,5 Jun 10:24 AM
DOGE/USDT,Agent,Sell,2201.00099,0.083994,0.084924,0.084819,0.081059,-2.23,SL,1h 6m,Closed,5 Jun 9:52 AM
ADA/USDT,Agent,Sell,1132,0.1620,0.1646,0.1642,0.1584,-3.13,SL,55m,Closed,5 Jun 9:43 AM
BTC/USDT,Smart,Sell,0.09591,61594.03,62767.70,62369.00,60884.03,-118.59,SL,1h 23m,Closed,5 Jun 9:40 AM
BNB/USDT,Smart,Sell,2.576,581.77,586.20,587.08,573.10,-12.92,Manual,50m,Closed,5 Jun 9:36 AM
SOL/USDT,Agent,Sell,2.8,64.43,64.85,67.29,64.31,-1.36,Manual,39m,Closed,5 Jun 9:10 AM
BNB/USDT,Smart,Sell,3.616,575.17,583.00,580.46,566.64,-30.42,SL,15m,Closed,5 Jun 8:45 AM
ETH/USDT,Smart,Sell,1.259,1642.18,1665.56,1656.24,1616.81,-31.53,SL,14m,Closed,5 Jun 8:45 AM
DOGE/USDT,Agent,Sell,2165.50399,0.083377,0.083558,0.086582,0.083502,-0.57,TP,10s,Closed,5 Jun 8:39 AM
DOGE/USDT,Agent,Sell,2165.78796,0.083367,0.083558,0.086582,0.083502,-0.59,TP,10s,Closed,5 Jun 8:38 AM
DOGE/USDT,Agent,Sell,2166.08582,0.083381,0.083558,0.086582,0.083502,-0.56,TP,10s,Closed,5 Jun 8:37 AM
DOGE/USDT,Agent,Sell,2166.39388,0.083380,0.083558,0.086582,0.083502,-0.57,TP,10s,Closed,5 Jun 8:36 AM
DOGE/USDT,Agent,Sell,2166.79185,0.083164,0.083558,0.086582,0.083502,-1.03,TP,9s,Closed,5 Jun 8:35 AM
DOGE/USDT,Agent,Sell,2168.95931,0.083146,0.083353,0.086582,0.083502,-0.63,TP,9s,Closed,5 Jun 8:34 AM
DOGE/USDT,Agent,Sell,2169.24615,0.083164,0.083353,0.086582,0.083502,-0.59,TP,9s,Closed,5 Jun 8:33 AM
DOGE/USDT,Agent,Sell,2169.53041,0.083178,0.083353,0.086582,0.083502,-0.56,TP,9s,Closed,5 Jun 8:32 AM
DOGE/USDT,Agent,Sell,2169.89304,0.083146,0.083353,0.086582,0.083502,-0.63,TP,8s,Closed,5 Jun 8:31 AM
DOGE/USDT,Agent,Sell,2172.04117,0.083178,0.083353,0.086582,0.083502,-0.56,TP,9s,Closed,5 Jun 8:30 AM
BNB/USDT,Smart,Sell,2.913,570.64,576.43,575.31,561.61,-18.54,SL,5m,Closed,5 Jun 8:30 AM
ETH/USDT,Smart,Sell,1.0147,1629.27,1644.74,1642.90,1603.78,-17.36,SL,5m,Closed,5 Jun 8:30 AM
SOL/USDT,Agent,Sell,2.81,63.87,64.02,67.29,64.31,-0.61,TP,9s,Closed,5 Jun 8:29 AM
DOGE/USDT,Agent,Sell,2183.317,0.082062,0.082242,0.086582,0.083502,-0.57,TP,9s,Closed,5 Jun 8:29 AM
DOGE/USDT,Agent,Sell,2183.63204,0.082051,0.082242,0.086582,0.083502,-0.60,TP,9s,Closed,5 Jun 8:28 AM
SOL/USDT,Agent,Sell,2.81,63.87,64.02,67.29,64.31,-0.61,TP,10s,Closed,5 Jun 8:27 AM
DOGE/USDT,Agent,Sell,2184.092,0.082040,0.082242,0.086582,0.083502,-0.62,TP,10s,Closed,5 Jun 8:27 AM
DOGE/USDT,Agent,Sell,2184.39686,0.082057,0.082242,0.086582,0.083502,-0.58,TP,10s,Closed,5 Jun 8:26 AM
SOL/USDT,Agent,Sell,2.81,63.87,64.02,67.29,64.31,-0.60,TP,8s,Closed,5 Jun 8:25 AM
DOGE/USDT,Agent,Sell,2184.84753,0.082058,0.082242,0.086582,0.083502,-0.58,TP,8s,Closed,5 Jun 8:25 AM
SOL/USDT,Agent,Sell,2.81,65.06,65.21,67.29,64.31,-0.58,Manual,4m,Closed,5 Jun 8:24 AM
DOGE/USDT,Agent,Sell,2179.15504,0.084113,0.083814,0.086582,0.083502,0.47,Manual,6m,Closed,5 Jun 8:24 AM
ETH/USDT,Smart,Sell,0.9043,1658.07,1661.76,1673.38,1633.54,-4.84,Manual,4m,Closed,5 Jun 8:24 AM
BNB/USDT,Smart,Sell,3.254,577.30,575.58,584.95,571.03,3.74,Manual,7m,Closed,5 Jun 8:24 AM
SOL/USDT,Agent,Sell,2.76,67.90,65.21,67.99,65.57,7.25,TP,1h 16m,Closed,5 Jun 8:19 AM
ETH/USDT,Smart,Sell,1.4116,1672.89,1661.76,1686.79,1661.62,13.37,TP,16m,Closed,5 Jun 8:19 AM
DOGE/USDT,Agent,Sell,2147.61389,0.086200,0.084314,0.087548,0.084434,3.87,TP,1h 3m,Closed,5 Jun 8:17 AM
BNB/USDT,Agent,Sell,0.309,597.16,581.47,608.50,581.52,4.67,TP,1h 4m,Closed,5 Jun 8:17 AM
BTC/USDT,Agent,Sell,0.00292,63278.62,62463.40,64216.76,61932.37,2.20,Manual,1h 4m,Closed,5 Jun 8:17 AM
XRP/USDT,Smart,Sell,1277,1.1227,1.1211,1.1368,1.1198,0.64,Manual,29m,Closed,5 Jun 8:11 AM
ETH/USDT,Agent,Sell,0.1082,1676.02,1677.70,1742.37,1680.39,-0.36,TP,2s,Closed,5 Jun 8:03 AM
ETH/USDT,Agent,Sell,0.1069,1729.42,1680.08,1762.81,1684.66,5.09,TP,49m,Closed,5 Jun 8:03 AM
XRP/USDT,Smart,Sell,1444,1.1400,1.1339,1.1488,1.1317,7.14,Manual,2h 55m,Closed,5 Jun 7:42 AM
DOGE/USDT,Agent,Sell,2099.60943,0.087423,0.086406,0.089670,0.085695,1.95,Manual,4h 0m,Closed,5 Jun 7:14 AM
BTC/USDT,Agent,Sell,0.0029,63093.30,63432.93,64749.29,61878.63,-1.17,Manual,4h 0m,Closed,5 Jun 7:13 AM
BNB/USDT,Agent,Sell,0.306,597.39,598.60,615.16,587.88,-0.55,Manual,4h 0m,Closed,5 Jun 7:13 AM
ETH/USDT,Agent,Sell,0.1048,1749.97,1733.74,1795.92,1716.29,1.52,Manual,4h 0m,Closed,5 Jun 7:13 AM
SOL/USDT,Agent,Sell,2.76,67.78,68.03,67.99,65.57,-0.88,SL,1m,Closed,5 Jun 7:03 AM
SOL/USDT,Agent,Sell,2.76,67.81,68.01,68.05,65.03,-0.74,SL,30m,Closed,5 Jun 7:00 AM
SOL/USDT,Agent,Sell,2.77,66.77,67.96,67.84,65.43,-3.48,SL,28m,Closed,5 Jun 6:30 AM
SOL/USDT,Agent,Sell,10.4,68.06,66.94,69.97,66.87,10.98,TP,2h 48m,Closed,5 Jun 6:02 AM
XRP/USDT,Smart,Sell,471,1.1361,1.1439,1.1429,1.1258,-4.21,SL,2m,Closed,5 Jun 4:46 AM
